JobNumber,JobDescription,Master_Controllers,Field_Controllers,Sensors,Panels,Software,Computers,HO02,HO03,HO04,HO05,HO06,HO07,HO08,HO09,HO10,HO11,HO12
219700B,ESRT - 7th fl - Corridor,2886.1,1182.84,10600.529999999999,0.0,0.0,0.0,5650.68,954.26,6758.97,12060.62,0.0,0.0,0.0,4725.18,12217.54,0.0,0.0
219900B,17 Battery 7th Fl Reno Moinian,0.0,584.91,767.65,102.81,0.0,0.0,2125.41,654.83,1708.58,4019.7,0.0,0.0,0.0,0.0,5112.44,0.0,898.55
220000B,95 Morton - Heat Timer Monitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.19,254.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220100B,HRH Text Alarm Notification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.13,334.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220200B,HSS MRI Chiller Replacement,0.0,0.0,0.0,0.0,0.0,0.0,746.57,0.0,931.41,1784.39,0.0,0.0,0.0,1474.94,1867.71,0.0,0.0
220300B,499 Park - 22nd Fl Demo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.18,0.0,0.0,0.0,0.0,386.75,0.0,0.0
220400B,50 Rock 12th Floor,14603.16,0.0,21684.260000000002,766.73,0.0,0.042681250000000004,3896.06,817.07,7580.74,12760.0,0.0,0.0,0.0,13844.62,10404.68,0.0,0.0
220500B,200 Park Ave 32nd Fl NFP,2886.1,7076.32,14731.879999999997,405.99,0.0,0.0,4420.75,1129.43,5997.01,9641.88,0.0,0.0,0.0,4519.06,0.0,0.0,0.0
220700B,1270 6th Ave  Tishman 3rd Fl,926.3,3161.73,864.68,0.0,1095.28,0.0,3781.83,342.01,1277.01,3762.44,0.0,0.0,0.0,4198.71,0.0,0.0,0.0
220800B,Estee T&M Office Demo AC6 &7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.69,0.0,0.0
220900B,SGU Superdorm 6 BMS Upgr Parts,1599.0,2399.68,3871.2299999999996,849.87,0.0,0.0,3158.08,2251.58,0.0,5772.53,0.0,0.0,0.0,8248.7,0.0,0.0,2960.92
221000B,SGU Charter Hall BMS Upgrade,1599.0,2005.68,3926.82,622.1,0.0,0.0,708.47,676.83,0.0,8240.26,0.0,0.0,0.0,676.83,0.0,0.0,0.0
221100B,WP Hosp 1st Fl Elec Metering,0.0,0.0,45.26,0.0,0.0,0.0,0.0,0.0,713.9,795.05,0.0,0.0,0.0,0.0,1067.26,0.0,0.0
221200B,425 Lex Fl 2  Conduit Relocate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.83,355.33,0.0,0.0,0.0,890.81,1588.87,0.0,0.0
221300B,Publicis  - 16th fl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.52,116.46,0.0,0.0,0.0,0.0,773.52,0.0,0.0
221400B,345 Park Rudin Flexim Meters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221500B,Northwell PT Room Conversion,0.0,0.0,0.0,0.0,0.0,0.0,175.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221600B,80 Pine- Vibrant  Flrs 18-19,6270.05,19190.68,14054.06,0.0,3910.65,0.0,3433.43,2652.69,13191.8,15726.74,0.0,0.0,0.0,9968.06,30603.63,0.0,0.0
221700B,230 PAS 12th Fl Leak Detectors,0.0,580.87,1536.43,0.0,0.0,0.0,0.0,0.0,637.74,465.88,0.0,0.0,0.0,0.0,2196.0,0.0,0.0
221900B,Three Rope Leak Detector,0.0,0.0,4162.22,0.0,0.0,0.0,0.0,0.0,199.09,4414.03,0.0,0.0,0.0,2053.29,1514.45,0.0,0.0
222000B,One Dag Le Cafe,0.0,682.4399999999999,602.79,102.81,0.0,0.0,351.56,0.0,1336.32,5400.65,0.0,0.0,0.0,3615.91,2591.96,0.0,0.0
222100B,CAA - 22nd floor,0.0,0.0,0.0,0.0,4101.64,0.0,263.68,0.0,3227.37,845.61,0.0,0.0,0.0,1091.57,0.0,0.0,0.0
222200B,Vornado - 12th fl BMO,0.0,222.57,51.16,0.0,0.0,0.0,87.89,0.0,747.34,1169.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
